episodes,explored_states,score
5340000,1645,-7.340000000000009
5350000,1645,-8.099000000000004
5360000,1645,-7.693000000000008
5370000,1645,-7.731000000000006
5380000,1645,-7.763000000000006
5390000,1646,-7.766000000000009
5400000,1646,-7.446000000000006
5410000,1646,-7.7620000000000084
5420000,1646,-7.902000000000005
5430000,1646,-7.5640000000000045
5440000,1646,-7.693000000000005
5450000,1648,-7.214000000000006
5460000,1649,-8.081000000000007
5470000,1649,-7.860000000000008
5480000,1649,-8.088000000000008
5490000,1660,-8.304000000000007
5500000,1664,-7.416000000000004
5510000,1670,-7.797000000000005
5520000,1673,-7.653000000000008
5530000,1680,-7.2930000000000055
5540000,1683,-7.764000000000009
5550000,1686,-7.578000000000007
5560000,1688,-7.567000000000007
5570000,1692,-8.029000000000003
5580000,1693,-7.6130000000000075
5590000,1698,-8.194000000000006
5600000,1702,-7.475000000000003
5610000,1706,-7.5380000000000065
5620000,1708,-7.911000000000007
5630000,1710,-7.846000000000006
5640000,1710,-7.247000000000007
5650000,1712,-7.952000000000009
5660000,1715,-7.5170000000000075
5670000,1718,-7.386000000000005
5680000,1720,-7.542000000000006
5690000,1723,-7.865000000000006
5700000,1726,-7.645000000000007
5710000,1731,-7.504000000000004
5720000,1736,-7.831999999999999
5730000,1738,-7.626000000000006
5740000,1740,-7.523000000000008
5750000,1742,-7.685000000000003
5760000,1743,-6.992000000000007
5770000,1743,-7.067000000000004
5780000,1745,-7.626000000000004
5790000,1749,-7.799000000000006
5800000,1749,-7.755000000000006
5810000,1754,-8.087000000000007
5820000,1758,-8.620000000000006
5830000,1761,-7.688000000000005
5840000,1765,-7.670000000000008
5850000,1765,-7.625000000000007
5860000,1765,-7.510000000000004
5870000,1767,-7.667000000000009
5880000,1767,-7.824000000000005
5890000,1767,-7.765000000000007
5900000,1768,-7.537000000000007
5910000,1771,-7.644000000000009
5920000,1775,-7.255000000000008
5930000,1777,-8.000000000000007
5940000,1778,-7.902000000000005
5950000,1779,-7.718000000000003
5960000,1780,-7.789000000000007
5970000,1781,-8.150000000000007
5980000,1781,-7.759000000000007
5990000,1783,-7.665000000000007
6000000,1784,-7.421000000000007
6010000,1786,-7.3020000000000085
6020000,1788,-7.3380000000000045
6030000,1789,-7.806000000000007
6040000,1789,-7.676000000000005
6050000,1789,-7.745000000000007
6060000,1789,-7.993000000000007
6070000,1789,-7.785000000000009
6080000,1789,-7.727000000000004
6090000,1790,-7.405000000000006
6100000,1794,-7.661000000000007
6110000,1796,-8.097000000000007
6120000,1799,-7.2410000000000085
6130000,1800,-7.563000000000006
6140000,1800,-7.575000000000008
6150000,1801,-7.924000000000007
6160000,1801,-7.322000000000008
6170000,1802,-7.708000000000007
6180000,1802,-8.025000000000007
6190000,1802,-7.706000000000008
6200000,1804,-7.914000000000007
6210000,1805,-8.129000000000007
6220000,1805,-7.106000000000003
6230000,1805,-7.53300000000001
6240000,1807,-7.744000000000007
6250000,1809,-7.312000000000007
6260000,1809,-7.963000000000009
6270000,1812,-7.846000000000008
6280000,1813,-7.520000000000007
6290000,1814,-7.982000000000005
6300000,1817,-7.326000000000007
6310000,1817,-8.001000000000007
6320000,1817,-8.216000000000006
6330000,1818,-7.633000000000006
6340000,1819,-7.554000000000005
6350000,1820,-7.695000000000009
6360000,1820,-7.778000000000005
6370000,1821,-7.603000000000011
6380000,1821,-8.254000000000005
6390000,1821,-8.052000000000007
6400000,1821,-7.465000000000008
6410000,1824,-8.399000000000008
6420000,1825,-7.339000000000006
6430000,1825,-7.510000000000007
6440000,1826,-7.638000000000004
6450000,1827,-7.792000000000009
6460000,1827,-7.344000000000005
6470000,1828,-8.002000000000008
6480000,1828,-7.184000000000005
6490000,1828,-7.106000000000006
6500000,1828,-7.420000000000005
6510000,1828,-7.694000000000008
6520000,1829,-7.896000000000008
6530000,1829,-7.336000000000004
6540000,1831,-7.601000000000008
6550000,1832,-7.576000000000007
6560000,1832,-7.991000000000006
6570000,1833,-7.905000000000008
6580000,1834,-7.530000000000009
6590000,1834,-7.4320000000000075
6600000,1836,-8.044000000000004
6610000,1836,-7.849000000000007
6620000,1840,-7.889000000000007
6630000,1841,-7.499000000000006
6640000,1842,-7.537000000000006
6650000,1843,-7.524000000000005
6660000,1844,-7.755000000000008
6670000,1844,-7.5590000000000055
6680000,1844,-7.844000000000002
6690000,1845,-7.4130000000000065
6700000,1845,-7.168000000000007
6710000,1847,-8.123000000000005
6720000,1848,-7.715000000000008
6730000,1848,-7.5620000000000065
6740000,1848,-8.104000000000008
6750000,1850,-7.885000000000006
6760000,1850,-7.224000000000005
6770000,1850,-7.6230000000000055
6780000,1851,-7.398000000000004
6790000,1851,-7.541000000000005
6800000,1852,-7.8050000000000095
6810000,1852,-7.645000000000007
6820000,1852,-7.710000000000004
6830000,1853,-7.8200000000000065
6840000,1853,-7.383000000000007
6850000,1853,-7.45400000000001
6860000,1853,-8.241000000000005
6870000,1853,-7.347000000000011
6880000,1854,-7.577000000000003
6890000,1854,-7.922000000000008
6900000,1854,-7.819000000000009
6910000,1854,-7.595000000000007
6920000,1854,-7.497000000000005
6930000,1855,-7.284000000000003
6940000,1856,-7.795000000000005
6950000,1859,-7.9660000000000055
6960000,1859,-7.579000000000007
6970000,1859,-7.3380000000000045
6980000,1859,-7.795000000000008
6990000,1859,-7.259000000000007
7000000,1859,-7.843000000000004
7010000,1859,-7.353000000000006
7020000,1860,-7.614000000000004
7030000,1860,-7.4160000000000075
7040000,1860,-7.518000000000009
7050000,1860,-7.813000000000004
7060000,1860,-7.4370000000000065
7070000,1860,-8.010000000000005
7080000,1860,-7.682000000000008
7090000,1860,-7.9050000000000065
7100000,1861,-7.222000000000005
7110000,1862,-7.859000000000008
7120000,1862,-7.707000000000006
7130000,1863,-7.928000000000009
7140000,1863,-7.834000000000007
7150000,1866,-7.552000000000009
7160000,1866,-7.036000000000006
7170000,1866,-7.803000000000005
7180000,1866,-7.80400000000001
7190000,1867,-8.056000000000006
7200000,1867,-7.773000000000007
7210000,1868,-7.786000000000006
7220000,1868,-7.357000000000006
7230000,1868,-7.406000000000009
7240000,1868,-7.553000000000006
7250000,1868,-7.626000000000007
7260000,1868,-6.9950000000000045
7270000,1869,-7.378000000000007
7280000,1872,-7.426000000000005
7290000,1874,-7.587000000000006
7300000,1876,-7.793000000000009
7310000,1879,-7.416000000000008
7320000,1879,-8.005000000000006
7330000,1883,-7.59500000000001
7340000,1885,-7.322000000000004
7350000,1885,-7.705000000000008
7360000,1887,-7.471000000000006
7370000,1889,-7.0240000000000045
7380000,1889,-7.142000000000003
7390000,1889,-8.166000000000007
7400000,1889,-8.127000000000008
7410000,1889,-6.909000000000004
7420000,1889,-7.538000000000008
7430000,1891,-7.292000000000007
7440000,1895,-8.118000000000006
7450000,1896,-7.253000000000003
7460000,1899,-7.536000000000007
7470000,1901,-7.151000000000007
7480000,1901,-7.806000000000003
7490000,1901,-7.671000000000007
7500000,1903,-7.843000000000005
7510000,1905,-7.575000000000008
7520000,1908,-7.657000000000006
7530000,1908,-7.969000000000006
7540000,1908,-8.056000000000004
7550000,1908,-7.335000000000004
7560000,1909,-7.609000000000009
7570000,1910,-7.911000000000006
7580000,1912,-6.842000000000006
7590000,1913,-7.580000000000007
7600000,1915,-7.346000000000007
7610000,1917,-7.926000000000007
7620000,1919,-7.832000000000007
7630000,1920,-7.152000000000007
7640000,1921,-7.2020000000000035
7650000,1924,-8.084000000000007
7660000,1926,-7.892000000000008
7670000,1927,-7.085000000000005
7680000,1928,-7.836000000000006
7690000,1929,-7.597000000000006
7700000,1932,-7.677000000000003
7710000,1936,-7.403000000000007
